timestamp,service,metric,value
2026-06-19T18:54:00Z,workflow-engine,restart_count,0
2026-06-19T18:54:00Z,workflow-engine,error_rate_pct,0.1
2026-06-19T18:54:00Z,ai-agent-svc,error_rate_pct,0.2
2026-06-19T18:54:00Z,ai-agent-svc,p99_latency_ms,220
2026-06-19T18:54:00Z,platform-api,error_rate_pct,0.2
2026-06-19T18:54:00Z,platform-api,p99_latency_ms,190
2026-06-19T19:03:00Z,workflow-engine,restart_count,1
2026-06-19T19:03:00Z,workflow-engine,error_rate_pct,1.0
2026-06-19T19:03:00Z,ai-agent-svc,error_rate_pct,0.2
2026-06-19T19:03:00Z,ai-agent-svc,p99_latency_ms,225
2026-06-19T19:03:00Z,platform-api,error_rate_pct,0.2
2026-06-19T19:03:00Z,platform-api,p99_latency_ms,190
2026-06-19T19:06:00Z,workflow-engine,restart_count,4
2026-06-19T19:06:00Z,workflow-engine,error_rate_pct,8.0
2026-06-19T19:06:00Z,ai-agent-svc,error_rate_pct,18.0
2026-06-19T19:06:00Z,ai-agent-svc,p99_latency_ms,260
2026-06-19T19:06:00Z,platform-api,error_rate_pct,1.0
2026-06-19T19:06:00Z,platform-api,p99_latency_ms,210
2026-06-19T19:09:00Z,workflow-engine,restart_count,7
2026-06-19T19:09:00Z,workflow-engine,error_rate_pct,12.0
2026-06-19T19:09:00Z,ai-agent-svc,error_rate_pct,41.0
2026-06-19T19:09:00Z,ai-agent-svc,p99_latency_ms,300
2026-06-19T19:09:00Z,platform-api,error_rate_pct,33.0
2026-06-19T19:09:00Z,platform-api,p99_latency_ms,320
2026-06-19T19:11:00Z,workflow-engine,restart_count,8
2026-06-19T19:11:00Z,workflow-engine,error_rate_pct,14.0
2026-06-19T19:11:00Z,ai-agent-svc,error_rate_pct,49.0
2026-06-19T19:11:00Z,ai-agent-svc,p99_latency_ms,310
2026-06-19T19:11:00Z,platform-api,error_rate_pct,39.0
2026-06-19T19:11:00Z,platform-api,p99_latency_ms,330
